aaa,9596082,6850,250,391
aab,9605289,10017,213,292
aac,9954682,8934,145,249
aad,9846661,8546,315,571
aae,9944199,9212,93,133
aaf,9942994,7386,114,165
aag,9842175,9633,127,241
aba,9293831,9187,62,95
abb,9907333,7671,104,188
abc,9962004,9032,94,210
abd,9893691,7654,115,159
abe,9890847,7572,67,191
abf,9943781,7634,5,5
abg,9840617,10440,54,141
aca,9981178,8745,89,243
acb,9994346,9197,155,357
acc,9932167,8262,26,48
acd,9876434,8537,248,489
ace,9702424,7953,46,108
acf,9378470,8399,85,165
acg,9995391,9398,77,303
ada,9954742,10682,10,51
adb,9594308,10853,22,42
adc,9914578,9417,6,18
add,9778889,8016,268,470
ade,9940065,9795,180,335
adf,9689099,9452,377,709
adg,9850550,8882,6,16
aea,9999160,7953,294,633
aeb,9768424,7875,97,282
aec,9893758,8845,44,102
aed,9997491,8112,155,276
aee,9788132,8390,153,466
aef,9845197,9445,150,286
aeg,9879283,7677,107,195
afa,9699046,9657,27,47
afb,9966652,8407,116,228
afc,9992348,8024,83,155
afd,9885795,9103,27,82
afe,9997612,8204,189,388
aff,9722697,8349,14,46
afg,9996762,8148,101,253
aga,9846547,8138,118,212
agb,9923248,9042,55,122
agc,9513318,9041,68,186
agd,9977859,8120,147,258
age,9841456,8527,165,209
agf,9950863,7747,49,162
agg,9975372,8093,39,80
baa,9917334,9150,88,163
bab,9939413,8767,213,393
bac,9894538,8859,59,112
bad,9928526,8032,86,158
bae,9666376,10263,109,199
baf,9958771,8822,90,174
bag,9561306,9174,10,35
bba,9795775,8374,189,307
bbb,9877375,10776,146,242
bbc,9846964,10529,84,133
bbd,9901404,9827,249,399
bbe,9952687,8855,54,95
bbf,9590332,7362,23,104
bbg,9907349,7400,109,162
bca,9973747,8854,248,356
bcb,9967285,8949,257,800
bcc,9770475,8664,40,179
bcd,9965975,8501,317,490
bce,9979083,10283,110,188
bcf,9563763,9206,83,128
bcg,9962639,10003,24,59
bda,9300463,8424,87,197
bdb,9905312,6813,154,303
bdc,9875163,7976,119,286
bdd,9937118,9007,20,45
bde,9715448,10916,27,66
bdf,9704499,8980,47,166
bdg,9975593,8161,75,249
bea,9991293,9505,16,42
beb,9991016,9628,105,179
bec,9715982,9471,196,341
bed,9695362,9391,12,50
bee,9848855,9138,597,1024
bef,9999379,8291,496,1088
beg,9914588,8251,26,64
bfa,9953723,8710,186,332
bfb,9678439,8911,18,50
bfc,9873738,8565,97,160
bfd,9830675,8910,5,7
bfe,9980646,8671,92,148
bff,9852808,10820,108,267
